Country,Consumption
Angola,1800000
Bolivia (Plurinational State of),3660000
Brazil,1320000000
Burundi,120000
Ecuador,8940000
Indonesia,288360000
Madagascar,22500000
Malawi,60000
Papua New Guinea,120000
Paraguay,1200000
Peru,15000000
Rwanda,60000
Timor-Leste,29400
Zimbabwe,240000
Congo,180000
Cuba,12960000
Dominican Republic,22620000
Haiti,20700000
Philippines,195000000
Tanzania,5700000
Zambia,0
Cameroon,4620000
Central African Republic,1200000
Colombia,121486440
Costa Rica,21120000
C̫te d'Ivoire,19020000
Democratic Republic of Congo,11880000
El Salvador,17520000
Equatorial Guinea,0
Ethiopia,226860000
Gabon,30000
Ghana,120000
Guatemala,23580000
Guinea,3000000
Guyana,540000
Honduras,21000000
India,87000000
Jamaica,540000
Kenya,4290000
Lao People's Democratic Republic,9420000
Liberia,300000
Mexico,145500000
Nepal,0
Nicaragua,12600000
Nigeria,2400000
Panama,4020000
Sierra Leone,300000
Sri Lanka,2100000
Thailand,84000000
Togo,15600
Trinidad & Tobago,600000
Uganda,15240000
Venezuela,76500000
Viet Nam,159000000
Yemen,3840000